"cv.at","click.id","user.id","campaign.id"
"2015-04-27 23:16:24",3117950,118462,"Campaign103"
"2015-04-27 18:39:40",2005591,36544,"Campaign027"
"2015-04-27 22:03:55",2807169,159986,"Campaign126"
"2015-04-27 20:22:48",2682923,105511,"Campaign103"
"2015-04-27 03:25:54",2768459,39840,"Campaign079"
"2015-04-27 17:01:21",1798244,93411,"Campaign115"
"2015-04-27 17:53:33",1804318,93411,"Campaign115"
"2015-04-27 19:46:20",2269183,93411,"Campaign115"
"2015-04-27 16:28:22",954538,118767,"Campaign050"
"2015-04-27 19:07:23",1180478,99323,"Campaign131"
"2015-04-27 19:21:58",2035789,48752,"Campaign131"
"2015-04-27 21:42:54",2713885,99763,"Campaign079"
"2015-04-27 08:16:41",3093546,156605,"Campaign027"
"2015-04-27 01:19:13",3618034,130223,"Campaign103"
"2015-04-27 03:36:46",370718,130223,"Campaign103"
"2015-04-27 14:18:45",1133738,120227,"Campaign105"
"2015-04-27 00:13:15",33018,111869,"Campaign049"
"2015-04-27 13:07:22",596089,30641,"Campaign044"
"2015-04-27 14:40:17",1509060,163520,"Campaign040"
"2015-04-27 17:31:22",1869104,163520,"Campaign014"
"2015-04-27 02:21:34",20537,121112,"Campaign132"
"2015-04-27 15:12:46",3424865,152142,"Campaign027"
"2015-04-27 21:16:25",2595904,58443,"Campaign103"
"2015-04-27 21:49:19",2733004,58443,"Campaign103"
"2015-04-27 10:46:18",1030603,169459,"Campaign103"
"2015-04-27 17:10:22",1818952,49075,"Campaign103"
"2015-04-27 19:25:22",1416104,158634,"Campaign091"
"2015-04-27 19:27:12",1978398,93823,"Campaign090"
"2015-04-27 23:03:43",1010982,65898,"Campaign124"
"2015-04-27 17:22:36",889270,35049,"Campaign090"
"2015-04-27 00:30:30",89264,71701,"Campaign129"
"2015-04-27 15:32:41",1516594,109318,"Campaign016"
"2015-04-27 20:46:28",2485005,104722,"Campaign068"
"2015-04-27 18:16:31",1915293,51479,"Campaign027"
"2015-04-27 18:02:28",272739,50103,"Campaign063"
"2015-04-27 00:06:33",3936031,38076,"Campaign098"
"2015-04-27 14:44:48",251890,73570,"Campaign054"
"2015-04-27 20:41:05",3406142,165003,"Campaign131"
"2015-04-27 19:23:58",2045621,72812,"Campaign103"
"2015-04-27 22:31:18",2921236,130862,"Campaign040"
"2015-04-27 22:33:31",848188,113530,"Campaign034"
"2015-04-27 17:39:56",880640,85342,"Campaign082"
"2015-04-27 19:13:23",2166034,52018,"Campaign131"
"2015-04-27 16:55:54",1460383,10422,"Campaign103"
"2015-04-27 07:34:25",3512122,93450,"Campaign008"
"2015-04-27 23:49:10",2748805,140126,"Campaign057"
"2015-04-27 20:03:39",1243566,148244,"Campaign027"
"2015-04-27 14:56:52",1537476,87493,"Campaign027"
"2015-04-27 20:20:06",1960762,80443,"Campaign090"
"2015-04-27 02:35:48",384083,41180,"Campaign079"
"2015-04-27 22:15:24",2343518,30127,"Campaign103"
"2015-04-27 22:58:00",2797862,23045,"Campaign055"
"2015-04-27 21:54:53",1882598,152972,"Campaign031"
"2015-04-27 10:39:07",778918,31273,"Campaign107"
"2015-04-27 13:04:33",1261206,73729,"Campaign027"
"2015-04-27 19:40:17",2254446,166210,"Campaign131"
"2015-04-27 21:05:12",2558112,59938,"Campaign068"
"2015-04-27 09:10:23",915438,1365,"Campaign056"
"2015-04-27 20:51:18",1828136,80901,"Campaign129"
"2015-04-27 11:11:58",1106619,146511,"Campaign029"
"2015-04-27 21:51:51",2709748,91919,"Campaign053"
"2015-04-27 20:14:27",2356170,143446,"Campaign024"
"2015-04-27 22:38:27",2912007,43257,"Campaign107"
